IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
BALBINA,KOBIETA,5
LETTY,KOBIETA,5
LIIA,KOBIETA,5
MILANIA,KOBIETA,5
OLHA,KOBIETA,5
ANATOLIA,KOBIETA,5
AMELI,KOBIETA,5
TEODOZJA,KOBIETA,5
MARTINA,KOBIETA,5
AMELIE,KOBIETA,5
IRYNA,KOBIETA,5
YESENIA,KOBIETA,5
ISABELLE,KOBIETA,5
WALENTYNA,KOBIETA,5
CHLOÉ,KOBIETA,5
NATASHA,KOBIETA,5
WŁADYSŁAWA,KOBIETA,5
ERIKA,KOBIETA,5
ELLIE,KOBIETA,5
ANDRIANA,KOBIETA,5
MICHAELA,KOBIETA,5
ZOEY,KOBIETA,5
KATIA,KOBIETA,5
SELIN,KOBIETA,5
FLAWIA,KOBIETA,5
SAWA,KOBIETA,5
YEVHENIIA,KOBIETA,5
MAJKA,KOBIETA,5
IRIS,KOBIETA,5
ARMINA,KOBIETA,5
MELODY,KOBIETA,5
AGATHA,KOBIETA,5
LUDWIKA,KOBIETA,5
HELEN,KOBIETA,5
BERNADETTA,KOBIETA,5
LIGIA,KOBIETA,5
ARYA,KOBIETA,5
ANDREA,KOBIETA,5
SALMA,KOBIETA,4
MASHA,KOBIETA,4
JANKA,KOBIETA,4
AMALIIA,KOBIETA,4
LETICIA,KOBIETA,4
MIRELA,KOBIETA,4
DAMIRA,KOBIETA,4
APOLLONIA,KOBIETA,4
CYNTIA,KOBIETA,4
LARISA,KOBIETA,4
NANA,KOBIETA,4
MALIA,KOBIETA,4
ISABEL,KOBIETA,4
CECILIA,KOBIETA,4
KAIA,KOBIETA,4
ZARINA,KOBIETA,4
RIMMA,KOBIETA,4
LYRA,KOBIETA,4
AMAIA,KOBIETA,4
SOFÍA,KOBIETA,4
ESMI,KOBIETA,4
LILIIA,KOBIETA,4
KAILA,KOBIETA,4
KATARINA,KOBIETA,4
SAFIYA,KOBIETA,4
PHOEBE,KOBIETA,4
KATERINA,KOBIETA,4
NIKOLE,KOBIETA,4
ANTONELLA,KOBIETA,4
ELVIRA,KOBIETA,4
ANATOLA,KOBIETA,4
ALANA,KOBIETA,4
ZOË,KOBIETA,4
AMAYA,KOBIETA,4
RAHELA,KOBIETA,4
TAIA,KOBIETA,4
ESMERALDA,KOBIETA,4
LILLIANA,KOBIETA,4
IRINA,KOBIETA,4
GRACJANA,KOBIETA,4
AZALIA,KOBIETA,4
YUSTYNA,KOBIETA,4
REBECA,KOBIETA,4
FLORENCE,KOBIETA,4
LILLI,KOBIETA,4
ANABELLA,KOBIETA,4
LEYA,KOBIETA,4
NAYA,KOBIETA,4
GIULIA,KOBIETA,4
ZUZA,KOBIETA,4
IVANKA,KOBIETA,4
EMANUELA,KOBIETA,4
JAGIENKA,KOBIETA,4
CARLA,KOBIETA,4
ALIYA,KOBIETA,4
AURA,KOBIETA,4
MILLA,KOBIETA,4
SAFIA,KOBIETA,4
ZŁATA,KOBIETA,4
MIŁKA,KOBIETA,4
ELISABETH,KOBIETA,4
ISLA,KOBIETA,4
DANIELLA,KOBIETA,4
WARWARA,KOBIETA,4
ESTHER,KOBIETA,4
MARYSIA,KOBIETA,4
DEFNE,KOBIETA,4
LOLA,KOBIETA,4
FRIDA,KOBIETA,4
AISZA,KOBIETA,4
ANIA,KOBIETA,4
MINH ANH,KOBIETA,4
POLIANA,KOBIETA,3
ELENI,KOBIETA,3
MALENA,KOBIETA,3
INESSA,KOBIETA,3
DAGNA,KOBIETA,3
TESSA,KOBIETA,3
NAWOJKA,KOBIETA,3
ANA-MARIA,KOBIETA,3
ALESIA,KOBIETA,3
AMAL,KOBIETA,3
INESS,KOBIETA,3
VIRGINIA,KOBIETA,3
ELZA,KOBIETA,3
ATHINA,KOBIETA,3
ARIELA,KOBIETA,3
DĄBRÓWKA,KOBIETA,3
EUNIKA,KOBIETA,3
MIHAELA,KOBIETA,3
ELISABETTA,KOBIETA,3
MARGOT,KOBIETA,3
MELANIJA,KOBIETA,3
ENOLA,KOBIETA,3
EMI,KOBIETA,3
KARYNA,KOBIETA,3
GAYA,KOBIETA,3
JÁZMIN,KOBIETA,3
MIRRA,KOBIETA,3
YULIA,KOBIETA,3
ARABELLA,KOBIETA,3
AMY,KOBIETA,3
ARLETTA,KOBIETA,3
ILIANA,KOBIETA,3
LOUISA,KOBIETA,3
NALA,KOBIETA,3
RUTA,KOBIETA,3
ANNABELLA,KOBIETA,3
SAMANTHA,KOBIETA,3
REBECCA,KOBIETA,3
NIKITA,KOBIETA,3
LIZAVETA,KOBIETA,3
ANYA,KOBIETA,3
ELOISE,KOBIETA,3
MOLLY,KOBIETA,3
PALINA,KOBIETA,3
AVA,KOBIETA,3
SCARLETT,KOBIETA,3
NIA,KOBIETA,3
WIWIANA,KOBIETA,3
TEREZA,KOBIETA,3
MELANI,KOBIETA,3
ASIA,KOBIETA,3
ERYKA,KOBIETA,3
BRYGIDA,KOBIETA,3
RUBY,KOBIETA,3
ROSIE,KOBIETA,3
EMILIANA,KOBIETA,3
KAMA,KOBIETA,3
TAMILA,KOBIETA,3
THEA,KOBIETA,3
NIKOLETTA,KOBIETA,3
KATRINA,KOBIETA,3
KATALEIA,KOBIETA,3
BOGUSŁAWA,KOBIETA,3
LESIA,KOBIETA,3
ODETTA,KOBIETA,3
LUCJA,KOBIETA,3
ILARIIA,KOBIETA,3
MERYEM,KOBIETA,3
EVELYN,KOBIETA,3
WASILISA,KOBIETA,3
RUSLANA,KOBIETA,3
ANABEL,KOBIETA,3
ELMIRA,KOBIETA,3
INESA,KOBIETA,3
NADINE,KOBIETA,3
KVITOSLAVA,KOBIETA,3
ZENDAYA,KOBIETA,3
AMELIYA,KOBIETA,3
